[1788895933237] === ENGINE STARTUP ===
[1788895933237] Attempting WebSocket connection...
[1788895933238] WebSocket connection spawned successfully.
[1788895933238] Initializing Terminal UI...
[1788895933238] Background Reconciliation Task started. Awaiting stream...
[1788895933239] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788895941790] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895941840] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895941891] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895941940] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895941990] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895942041] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895942090] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895942140] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895942190] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895942240] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895942290] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895942340] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895942390] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895942440] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895942490] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895942540] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895942590] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895942640] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895942690] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895942740] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895942790] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895942821] Msg #3: Depth received | Bids: 20, Asks: 20, Timestamp ID: 1788895942386000000
[1788895942822] Reconciler book exists: true
[1788895942822] ui_tx.send status: true, receiver count: 1
[1788895942839] TUI Render Frame -> Synced: true, Seq ID: 1788895942386000000, Bids: 20, Asks: 20
[1788895942890] TUI Render Frame -> Synced: true, Seq ID: 1788895942386000000, Bids: 20, Asks: 20
[1788895942940] TUI Render Frame -> Synced: true, Seq ID: 1788895942386000000, Bids: 20, Asks: 20
[1788895942991] TUI Render Frame -> Synced: true, Seq ID: 1788895942386000000, Bids: 20, Asks: 20
[1788895943040] TUI Render Frame -> Synced: true, Seq ID: 1788895942386000000, Bids: 20, Asks: 20
[1788895943090] TUI Render Frame -> Synced: true, Seq ID: 1788895942386000000, Bids: 20, Asks: 20
[1788895943140] TUI Render Frame -> Synced: true, Seq ID: 1788895942386000000, Bids: 20, Asks: 20
[1788895943190] TUI Render Frame -> Synced: true, Seq ID: 1788895942386000000, Bids: 20, Asks: 20
[1788895943240] TUI Render Frame -> Synced: true, Seq ID: 1788895942386000000, Bids: 20, Asks: 20
[1788895943289] TUI Render Frame -> Synced: true, Seq ID: 1788895942386000000, Bids: 20, Asks: 20
[1788895943340] TUI Render Frame -> Synced: true, Seq ID: 1788895942386000000, Bids: 20, Asks: 20
[1788895943390] TUI Render Frame -> Synced: true, Seq ID: 1788895942386000000, Bids: 20, Asks: 20
[1788895943440] TUI Render Frame -> Synced: true, Seq ID: 1788895942386000000, Bids: 20, Asks: 20
[1788895943490] TUI Render Frame -> Synced: true, Seq ID: 1788895942386000000, Bids: 20, Asks: 20
[1788895943540] TUI Render Frame -> Synced: true, Seq ID: 1788895942386000000, Bids: 20, Asks: 20
[1788895943590] TUI Render Frame -> Synced: true, Seq ID: 1788895942386000000, Bids: 20, Asks: 20
[1788895943640] TUI Render Frame -> Synced: true, Seq ID: 1788895942386000000, Bids: 20, Asks: 20
[1788895943690] TUI Render Frame -> Synced: true, Seq ID: 1788895942386000000, Bids: 20, Asks: 20
[1788895943739] TUI Render Frame -> Synced: true, Seq ID: 1788895942386000000, Bids: 20, Asks: 20
[1788895943790] TUI Render Frame -> Synced: true, Seq ID: 1788895942386000000, Bids: 20, Asks: 20
[1788895943840] TUI Render Frame -> Synced: true, Seq ID: 1788895942386000000, Bids: 20, Asks: 20
[1788895943890] TUI Render Frame -> Synced: true, Seq ID: 1788895942386000000, Bids: 20, Asks: 20
[1788895943940] TUI Render Frame -> Synced: true, Seq ID: 1788895942386000000, Bids: 20, Asks: 20
[1788895943989] TUI Render Frame -> Synced: true, Seq ID: 1788895942386000000, Bids: 20, Asks: 20
